id,ffold,age,child.present,district,contact.time.gte.60.min,contact.time.gte.60.max,contact.age.lte.5.min,contact.age.5.to.19.min,contact.age.20.to.64.min,contact.age.gte.65.min,contact.age.lte.5.max,contact.age.5.to.19.max,contact.age.20.to.64.max,contact.age.gte.65.max,location.min,location.max,contact.close.min,contact.close.max,contact.all.total.min,contact.all.total.max,contact.time.gte.10.min,contact.time.gte.30.min,contact.age.lte.19.min,contact.age.lt.65.min,contact.time.gte.10.max,contact.time.gte.30.max,contact.age.lte.19.max,contact.age.lt.65.max,contact.age.ave.min,contact.time.min.min,contact.age.ave.max,contact.time.min.max
S0904182,1,39.56741958,1,KLN East,133,133,0,122,11,0,0,122,11,0,2,3,2,2,133,133,133,133,122,133,133,133,122,133,7.157894737,60,7.157894737,60
S0904210,0,26.25598905,0,KLN East,10,10,0,0,10,0,0,0,10,0,3,3,9,10,11,11,10,10,0,10,10,10,0,10,20,54.54545455,20,54.54545455
S0904223,0,56.33675565,1,HK Island,3,3,0,1,3,0,0,1,3,0,2,2,0,0,4,4,3,3,1,4,3,3,1,4,16.5,45,16.5,45
S0904231,0,48.28199863,0,KLN East,2,2,0,0,5,0,0,0,5,0,3,3,2,2,5,5,2,2,0,5,2,2,0,5,20,24,20,24
S0904241,0,63.03627652,0,HK Island,1,1,0,0,11,2,0,0,11,2,8,11,2,2,13,13,9,4,0,11,9,4,0,11,26.92307692,15.38461538,26.92307692,15.38461538
S0904252,0,47.92060233,1,NT West,0,0,0,1,6,0,0,1,6,0,5,5,1,1,7,7,2,0,1,7,2,0,1,7,18,2.857142857,18,2.857142857
S0904262,1,42.35181383,0,HK Island,2,3,0,1,12,0,0,2,12,0,2,6,2,3,13,14,2,2,1,13,3,3,2,14,18.92307692,9.230769231,18,12.85714286
S0904271,0,60.79671458,0,KLN West,0,0,0,0,5,1,0,0,6,1,4,6,2,2,6,7,2,0,0,5,2,0,0,6,27.5,3.333333333,26.42857143,2.857142857
S0904281,0,53.79876797,0,KLN West,3,4,0,0,4,0,0,0,4,0,3,5,1,2,4,5,3,3,0,4,4,4,0,4,20,45,20,48
S0904290,0,15.69062286,1,NT East,49,49,0,44,7,0,0,44,7,0,4,6,24,24,51,51,51,51,44,51,51,51,44,51,7.921568627,58.82352941,7.921568627,58.82352941
S0904291,0,41.98494182,1,NT East,5,5,0,0,5,1,0,0,5,1,3,3,2,2,6,6,6,5,0,5,6,5,0,5,27.5,51.66666667,27.5,51.66666667
